id,content,sentiment
749,صناعة ممتازة وقوي جدا وصالح للإستخدام المنزلي شكراً لكم لسرعة التوصيل,P
750,تماما كما في المواصفات وتعمل للشفط ايضا عند الحاجة . والتوصيل سريع وقبل الموعد المحدد,P
751,ضعيف,N
752,منفاخ قوي يمكن استخدامه كشفاط أيضا ويمكن ضبط السرعات عليه ايضا,P
753,سرعات متعدده لون اصفر جميل قوه فى طرد الهواء ومزود بكيس حين تود استعماله كمكنسه انصح به,P
754,جييد جددا وسعره ححلوو,P
755,ليس بالجوده المتوقعه,N
756,عملي ماركة ممتازة وعملية وضمان سنتان وسعر مغري وتوصيل سريع جداً، شكراً للبائع وانصح بشراءه، واقتناءه ، حرارة عالية وقوية وسريعة التسخين,P
757,ضعيف مخالف للبيانات المدونه,N
758,منتج رديء جدا,N
759,شكرا جهاز جبار وسرعة الشحن والتغليف الأمن أكرر شكري للبائع مع تمنياتي له بالتوفيق اتمنى من بقية البائعين ان يحذو حذوة,P
760,منتج ألماني اصلي,P
761,المنتج جيد لكن الشفط غير جيد تماما,P
762,ممتاز والتوصيل قياسي لكن الصوت قوي,P
763,المنتج اصلي وانصح به,P
764,سعر منافس بالنسبه للمحلات الكبيره,P
765,لم يكن معها بروشور باللغة العربية عن طريقة العمل بها,N
766,منتج غير جيد و لا انصح بالشراء,N
767,وصلني المنتج في وقت قصير واما رأيي حوله فهو منتج قوي ماركته معروفه وممتاز وحجمه مناسب وانصح به للعمل المتوسط,P
768,ادائها فعال جداً على سعرها جداً ممتازة,P
769,رديى جدا و يعمل بسرعة واحدة فقط و ضعيف الشدانصحكم بشراء الدريل الكهربائي حق ايكيا افضل بكليون مرررة والله انه رهيب وقوي جدا وعملي ببنما هذا المنتج سخيف وبطيى ولاينفع,N
770,لاسف منتج سيء فهو لا يملك قوة حتى لفتح البراغي و سرعة انتهاء بطاريته محبطة ...المنتج سيء ...لاسف لا يصلح حتى لاغراض تركيب بسيطة .لذا لا انصح به,N
771,هذا المنتج ضعيف جدا ولا يستفاد منه,N
772,لا انصح به بتاتا ابدا لا تشتريه استثمار بدون فائده,N
773,مواد التصنيع رديئه,N
774,قوة دوران ضعيف جداً ، اذا لديك شيء يحتاج تثبت بقوة فيدك اقوى منها,N
775,آلة متكاملة مع ملحقاتها و بسعر معقول,P
776,ضعيف جدا سي,N
777,سيء يد الانسان اقوى منه خسارة الدراهم,N
778,جهاز يفي بالغرض وسعره ممتاز وجربته على الجدران داخل البيت والصبغ ممتاز جدا و انصح فيه ولكن صعب تنظيف الجهاز بعد الاستخدام,P
779,البخاخ رائع للاستخدامات البسيطة,P
780,سهل الحمل .. سهل الاستخدام,P
781,االمنتج من شركة محترمة انصح به للاشغال الخفيفة,P
782,يستهلك طلاء كثير ويسخن بسرعة,N
783,انصح به للهواة,P
784,خفيفة - عملية - قوية - منتج عالي الجودة وصناعة ايطاية ممتاااااااااااازة للعمل المنزلي,P
785,للأمانه وبحسب تجربتي تنفع للأعمال البسيطه فقط ما تتحمل عمل كثير,N
786,ماكنية لحام ممتازة وعملية جدآ انصح بها,P
787,انصح بشرائة فهو ينفع للاعمال البسيطة,P
788,رائع جدا جدا جدا من صدق ما تراه في يد غيرك من الناس اللي كل شي في حياتي ما نتمنى أن تسقط في مكانٍ,P
789,تاريخ الانتاج جديد .. انصح به,P
790,اصلي 100٪ والتغليف ممتاز جداً,P
791,شكل علب المويه رايع,P
792,العلبة جدا مميزه في تصميمها وناعمه وسهله للشنطة ! جميله حبيتها ,P
793,افضل مويه وسعرها جدا مناسب,P
794,المعقم ممتاز وجودته عاليه ومتوفر منه حجم 1000 مل ايضا,P
795,معقم جيد وغير لزج على اليد,P
796,ممتاز وسعره معقول جداً,P
797,حجم العبوة اكبر من المنافسين,P
798,السعر الضعف صدمت لما شفت سعره في احد الصيدليات 8 ريال,N
799,ممتاز والتوصيل ممتاز وطريقتهم في حفظ المنتج رائع جداً والمندوب لطيف مره ومتفهم أفضل موقع للتسوق الإلكتروني بما أن جربت كثير حب كبير لسوق كوم,P
800,طبقاً للوصف المذكور شكراً,P
801,ممتاز ونصحت به جميع العائلة والأصدقاء وكانت ردت فعلهم إيجابية بالنسبة للمنتج واثبت انه افضل من المنتجات الأخرى,P
802,اصلى,P
803,منتج جيد وذو جوده عاليه,P
804,قهوة مميزة مطحونة اسبريسو ذات رائحة جيدة جدا ومذاق مميز قريب من البن الاثيوبى، غنية بالزيوت تعطى قوام جيد و وش غنى. يمكن تجربتها بالطريقة التركي,P
805,بن مطحون جيدا و مناسب جدا لماكينات صنع الاسبريسو و طعمه مميز جدا,P
806,المنتج رائع طعم ولون القهوه مرره جميل,P
807,البن مطحون وجاهز والطعم فوق الممتاز,P
808,القهوة خفيفة التركيز,N
809,سعره مرتفع بعض الشيئ,N
810,السعر غالي جدا والتغليف عليه ملاحظات,N
811,وصول المنتج بصوره وتغليف جيد,P
812,عرض ممتاز يا ريت يكرر.. جودة ممتازة,P
813,عرض حلو وسعر منافس,P
814,عرض بطل وجودة عالية,P
815,سعر عادل للحبة الواحدة مقارنة للعبوات الاخرى,P
816,سعره في المتناول وجيد المذاق,P
817,مره حبيت النتيجه,P
818,استفدت عليه كثير,P
819,ممتاااز جدا انصح فيه,P
820,نتيجته مرضيه جدا,P
821,صراحة البسكويت لذيذ لايقاوم اً لك يا بايع البسكويت,P
822,لزيييز وخفيف,P
823,جميل جدا مع القهوه او حى بدون ومع الحلا كذلك,P
824,جميله جدااا جدا سهله وطعم القهوه جميل ومركز وسعرها خررررافي مقارنة بالمذاق العجيب بصراحه ماندمت اني طلبتها والاحسن اني طلبتها بوقت التخفيضات,P
825,المنتج ممتاز والوقت قياسي شكرا,P
826,على طول خربت,N
827,السعر منافس للاسعار الاخرى و هيتر ممتاز و سريع بالاضافة الى التوصيل السريع,P
828,المنتج جيد والماركه اصليه ومعروفه,P
829,آلة صنع القهوه من نسبريسو جداً جمميله وصغيره ولاتاخذ مساحه كبيره مناسبة جداً لركن القهوه وعشاق القهوه الثقيله,P
830,سهله وانيقه,P
831,قسم تحضير الاسبريسو انخرب في اقل من سنة,N
832,خذها وانت متطمن صراحه روعه واستخدامها سهل,P
833,يفي بالغرض,P
834,تعطيك قهوة ممتازة نفس الماكينات دالوتشي,P
835,حلووة اووي,P
836,السعر وسهولة الاستخدام وتصميم الشكل حلوو,P
837,بعد شهر م اشتغل صمام الرغوة,N
838,فقط هناك عيب ان البخار ضعيف ولايخرج رغوة الحليب,N
839,ماكينه جيده جدا مقابل السعر,P
840,ممتازة جداً عن تجربة.استخدمها من أسبوع يوميا ولا فيها أي مشكلة، وتسوي لي قهوة ولا أروع. أنصحكم تشترون فلاتر ورقية مقاس 4 أو تكون طحنة القهوة خشنة شوي اذا بتستخدمون الفلتر اللي معها,P
841,ممتازة بدون تفكير اللي من عشاق القهوة السودا الامريكيه يشتري على طول,P
842,جداً رائعه القهوه انصح فيها وسعرها جميل واستخدامها لكل انواع القهوه بس تكون مطحونه طبعاً وسهله الاستخدام,P
843,السلعه مستعمله السلعه جاءت مغلفه من جديد ولكنها مستخدمه حيث ان الفلتر يوجد به بقايا ورائحة قهوة من استخدام سابق وهذا يعتبر عدم أمانه من البائع,N
844,الجهاز ممتاز يأدي الغرض يصنع بلاك كوفي ممتاز انصح بها فعلاًوسعرها جيد,P
845,البريق سريع الكسر انكسر معي,N
846,انكسر الابريق وضمان الوكيل غير شامل له وسعر الابريق بلحاله ١٦٠ اضطررت لشرائها مرة ثانية,N
847,منتج رائع انصح به والتعامل معى الشركه جدا راقي وصل قبل الوقت المتوقع,P
848,لا يوجد بها مؤقت رغم انه مكتوب في صندوق الوصف. ولم أشتريها إلا لأنه مكتوب بها مؤقت,N
849,انكسر الابريق بعد 3 استخدامات ولكن الشكر لسوق دوت كوم تم تعويضي عليها,N
850,رائع يابانى اصلى,P
851,كبير الحجم وغير دقيق,N
852,جهاز جميل وأفضل شئ انه يعمل بالبطاريه وليس بالشحن,P
853,رائع ويصلح للاعمال الخفيفه والسعر مناسب,P
854,تعتبر جيده,P
855,المنتج جميل وسعر ممتاز,P
856,سهل التشغيل والاستخدام,P
857,ممتازة جدا ورؤيا ليلية واااضحة,P
858,المنتج مفيد جدا جدا ويعطي راحة للوالدين في قضاء امور اخرى في البيت، ميزة حلوة وجود شاشة منفصلة للجهاز لان ريط الجهاز بالموبايل قد يعق عملية متابعة الطفل كما يعيق استخدام الموبايل بحرية، عدم وجود منبه ورصد للحركة والصوت وعدم امكانية شحن الكاميرا عند الطفل تقيد احياننا، توفر الوقت والجهد، اغلبية الرفيوهات عن هذا الموديل جيدة جدا كما انه فاز بجائزة خيار الامهات كافضل جهاز مراقبة للطفل,P
859,"الكاميرا تعمل بكفائة و تسهل مراقبة الطفل عندما اكون اقوم بالطبخ, منتج مفيد",P
860,المدى ضعيف يتأثر بالجدران الطفله فوق وانا تحت مايرسل الصوره والصوت بوضوح ويعلق وأحيانا يفصل ليت المدى يكون اوسع,N
861,صغير جدا غير عملي لحرية الاطفال,N
862,افضل بايع علي الاطلاق ماشاءالله,P
863,ممتازة وضرورية للاطفال ولا غنى عنها ، منتج ذو جودة ممتازة,P
864,ممتاز جدا وكان سعرها اقل ب كثييييير من المحلات,P
865,المنتج مرا حلو ومعروفه فيلبس ايڤنت .. وصلني بحالة ممتازة والسعر بيرفكت مقارنة بالسوق والمواقع الثانية,P
866,سعر مناسب واصلي ..سرعه فالتوصيل.. الله يبارك لك في رزقك,P
867,جميله وعملية,P
868,اخذته بسعر ممتاز وقت عروض الجمعة البيضاء .. الجودة ممتازة جدا,P
869,ممتازه وكامله فرشة الشعر ناعمه ومقص الاظافر ممتاز,P
870,سرعة الشحن المنتج اصلي ١٠٠٪‏ مغلف بشكل جيد,P
871,السعر مقارنه باسعار الصيدليات ارخص حتى مع الشحن والدفع عند الاستلام سعر سوق . كوم هو الارخص,P
872,ممتاز جداً انصح به وبشدة,P
873,ممتاز لكن يستهلك البطاريه سريعا,P
874,الجهاز جدا جدا جدا ممتاز مداه قوي انا حاطه في غرفة الرئيسية في الدور الاول في بداية الفيلا وانا موجود في الدور الارضي في نهاية الفيلا و الصوت واضح جدا فيه خاصية ان الجهاز مايشتغل الا اذا في صوت في غرفة الطفل,P
875,مجال تغطية ممتاز و نقل الصوت متتاز و يمكن استخدام البطاريات او الكهرباء بشكل مباشر,P
876,يعيبه انه مايشتغل ع بطارية اعادة شحن يشتغل ع كهرباء او بطارية عاديه البطارية تنفذ بسرعة,N
877,رائع وسهل والصوت فيه ممتاز وواضح وخفيف الوزن والسلك طوله ممتاز الاضاءه الموحوده ليست عاليه جدا تنبيه الام اذا انفصل جهاز الطفل بجرس مستوا الصوت عالي ويمكن تخفيضه ربما يكون مزعج الصوت اذا كان المكيف في غرفة الاطفال صوته عالي وشكرا لسوق على سرعة تلبيت الطلب والدقه في التعامل,P
878,يعيبه استهلاك الجهاز المستقبل للبطاريات بسرعة رهيبة كل يوم أو يومين بطارية فلابد من العودة للمحول الكهربائي وتجد فيه فصلة يغيب عن نقل الصوت لثواني لم أكتشف سبب ذلك بعد,N
879,احرص على اقتناءه بما بتناسب مع المواصفات في بلدك,P
880,لا يوجد سلبيات,P
881,ممتازه للامتعة,P
882,عملية واصليه ومتعددة الاستخدامات ساعدتني في السفر والتسوق,P
883,سهل الاستخدام وقوي,P
884,جودة عالية وجميل جدا,P
885,مرا عاجبتني,P
886,جدا رائعة وجودتها عالية,P
887,كويسه,P
888,ممتاز,P
889,حلو ويتحمل اوزان,P
890,يخلصك من حمل الامتعه,P
891,جدا رائعه وقويه تتحمل,P
892,سهلة الفتح و الإغلاق.. خفيفة .. و مريحة جدا,P
893,جيد وسهل الاستعمال خفيف بي سفر اعجبني جدا انصح باستعماله يفي بي الغرض انصح الناس لشراءه وستعماله سسسسسسسسسسسس,P
894,سهل الاستعمال والطي,P
895,عربه عمليه خفيفه سلسه فالحركه جدا وحجمه بعد الضب صغير لا تشغل حيز فالسياره سهلة الحمل,P
896,حبيتها وايد ...ريحتني فالسفر,P
897,منتج سهل وصغير الحجم وممتاز لسفر والرحلات,P
898,خفيفه وسهله في التنقل وسعرها جيد لكن يعيبها خامة القطع تعتبر خفيفه والعربه تحتاج شي اقوى لحمل الطفل,P
899,سعره مغري,P
900,خفيفة وسهلة الطي,P
901,ينكسر بسهولة,N
902,عمليه ومتينه,P
903,جيدة جدا ولاكن البطارية ضعيفة,N
904,جيد إلى حد ما لكن مع استخدام الكاميرا والمرأة في النهار لاتكون الصورة واضحه على العكس في الليل تكون جميله و واضحة,N
905,شكرا لابائس في منتج,P
906,حلوه وتنفع بعد الله في الطريق او الحوادث لا سمح الله,P
907,الكاميرا سهل التركيب و اقترانها في الجوال يطلب الرقم السري وهو من رقم 1 حتى 8 وتقدر تسترجع الفديو من الذاكره عيبها الوحيد بدون ذاكره لزم تشري من برا ذاكره جوده الصوره ممتازه,P
908,بطله تصويرها عالي الجوده وضوح ممتاز وخامه ممتازه,P
909,كمره راااائعه وانصح بها,P
910,التصوير الليلي مظلم وغير واضح والنهار ايضاً غير واضح ونطاق التقاط الصورة ضيف جداً ومقتصر على السيارة اللتي امامي مباشرة فقط,N
911,اكثر من رائع وجوده التصوير واضحة,P
912,لاينصح بها ، بطارية الليثيوم مع درجة حرارة الاجواء في السعودية تبتدأ بالانتفاخ وإخراج الشاشة من محلها,N
913,ممتازة و اتمنى اضافة ميموري كارد,P
914,انصح به بقوووووة,P
915,بما قراءت وتابعت فانه ممتاز,P
916,اشعر كأن الصور فيها ظلام، نورها فيه ضغف,N
917,سهلة الاستخدام و التركيب لاكن الجوده في التصوير الليلي سيء خذلتني,N
918,انصح جميع الاصدقاء بإغتناء هذه الماركة لجميع الاجهزة المنزلية,P
919,روعه وسعر منافس ارغب شراء اخر,P
920,القطعه وصلت في السليم وتركب ع الجهاز ويشتغل ميه ع ميه شال عند حمل تدوير الكاس البديل لجهاز مونينكس,P
921,الأصلي,P
922,شركه ذات موصفات عاليه في الصناعه تجميع` بمواصفات أعلى وسعر أقل ينصح دائماً باقتناء منتجات الشركه لجودتها العاليه وسعرها الرخيص,P
923,جوده ممتازه حسب المواصفات شحن سريع تعامل ممتاز شكرا لكم,P
924,بسرعة انكسرت قاعها,N
925,صعب الاستخدام,N
926,في حالة فقط الشي المعلق فيه الميدليه ولو في نطاق قريب جدا لا يجدي نفع مدام خارج نطاق الاشاره والمسافه لا تتعدي 5 امتار يعني لو شقه كبيره شويه برده مش هتلاقي حاجتك,N
927,الجي بي اس غير دقيق,N
928,لا يتم التحديد بشكل جيد من خلال الخرائط يظهر الطفل في مكان اخر,N
929,"جيدة جدا, يمكن أن تتصل بأطفالك في أي وقت أو تسمعهم بدون ما يحسوا وتحدد موقعهم أو يرسلوا رسالة صوتية, لكن يعيبها تحديدها للموقع غير دقيق وتحتاج شريحة بها بيانات",P
930,منتج سئ للغاية,N
931,من اول طيحه على الارض ينكسر . لازم تضع غراء على حواف الجهاز,N
932,الفكرة نفسها غير عمليه,N
933,البطاريه تكفى يوم واحد فقط,N
934,خامة سيئة و انكسر من خبطة خفيفة جدا,N
935,ليست عمليه وتنكسر,N
936,سيئ وليس له ايجابيات,N
937,لا يحتوي على شرح للطريقة وما عرفت استعمله,N
938,لا تعمل بشكل جيد و لا تستقبل المكالمات دائما الا حين تطفى و يعاد تشغيلها,N
939,منتج رائع ومميزاته اروع يمكن اجراء الممالمات الصوتيه ودقه المكان تحددها جوه التغطيه في المنطقه بشكل عام ممتاز,P
940,البطارية مكملتش شهرين وباظت ده غير انها كانت بتفضي بسرعه,N
941,اسوء من السيء,N
942,استفدت منه كثير,P
943,جيدة نوعاً ما,P
944,سيئة للأسف,N
945,جدا رائع وسهل الأستخدام للأطفال فقط كان هناك صعوبة في ادخال الشريحة ولكن باقي الأشياء جدا رائع وابنتي احبت الساعة كثيرا.,P
946,الممنتج جدا جودته سيئه ليس كما كنت اتوقع,N
947,منتج جيد ومناسب من حيث السعر,P
948,سهل الاستخدام وعملي,P
949,انامرتاح بصراحه بس ياليت الطريقه تكون واضحه وباللغه العربيه واسم الشركه لاني بصراحه تعقد من الطريقه واستخدم الجهاز بس بالاتصال وتحديد احداثياته اما عن طريق الموقع فلم استطع ومن له خبره فل يفيدنا وشكراً طبعاً الشريحه المستخدمع موبيلي,N
950,صعوبه في تشبيك الاسلاك,N
951,المنتج ممتاز مطابق للوصف ةبه خصائص كثيرة جدا سرعة تسليم المنتج النسخة التجريبية من البائع فعلا رائع,P
952,سعره مناسب,P
953,منتج قديم ولا يمكن برمجته,N
954,يعيبها صوت السبيكر لايسمعني الطفل الا بصعوبة والبطارية جودتها وسط وتحتاج انترنت لكي تحدد موقع الطفل,N
955,ضعيفه جدا,N
956,الممنتج جدا جودته سيئه ليس كما كنت اتوقع,N
957,منتج ممتاز قيم. سرعة بالتوصيل من سوق والبائع,P
958,مشي حال م أصلية حلوووو سعرها جيد اتصال بس مافي وأي فاي,N
959,يعلق ولا يصلح لشئ ارجو تكبير الذاكره الداخلية,N
960,لا يوجد منفذ للسماعة لا تتوافق بشدة مع الايفون البائع وضع سماعة في الكرتون الخاص بالساعة ولا يوجد منفذ سماعة من الاساس,N
961,عملي ووفر عني حمل جوال ثاني تقوم بتحويل جميع المكالمات من الساعة الي الجوال الاساسي الايفون وتوصيل الجوال الاساسي بالساعة عن طريق بالبلوتوث فيصبح الرد لكل المكالمات عن طريق الجوال الاساسي ويمكن الاتصال من الساعة . خاصية اللمس جيدة جداً -البطارية جيدة جداً - مظهر الساعة مناسب باليد وأنيق - السعر ممتاز - التوصيل من قبل سوق بوقت رائع - متوافقة من الايفون,P
962,شكلها جيد وسعرها معقول والشحن جيد جاري تجربتها,P
963,لم يتعرف عليها جهاز iphone 7,N
964,غير جيد,N
965,اشكركم ع التعامل,P
966,سعر معقول واستخدامها جيد,P
967,انصح به رائع كما هو معروض تماما,P
968,منتج لا باس به,P
969,جوده المنتج,P
970,ممتاز جدا وشكله جميل وجذاب,P
971,المنتج مطابق للوصف وممتاز بكل أمانة وسعيد بتطور خدمات الموقع وسرعة التوصيل,P
972,جيدة تصلح لبعض السيارات لابد والتأكد من فتحت مكيف سيارتك لأنها تركب على فتحات تكييف محددة,P
973,شريته عشان قطه شارع وحبته مره شكرا على تعاملكم اللطيف وجوده المنتج وسرعه التوصيل,P
974,قطتي صارت تعشقه والأخرى للأسف ما تاكله بس سعر مناسب من ناحية الكمية,P
975,هايل منتج محترم وسرعة توصيل,P
976,شواية رائعة جدا - صحية - جودة عالية - تنظيف سهل - تخزين سهل جدا,P
977,منتج اكثر من رائع وتوصيل سريع جدا جدا,P
978,زي اي شواية ليس كما توقعت,N
979,تغليف المنتج سيء,N
980,خلاطه ضعيف ، اداة العجن لا تناسب العجينة السميكة ، لا يوجد به عصارة فواكه ، لايوجد به شفرة لتقطيع اصابع البطاطس المقلية,N
981,حلو ولذيذ أنصح بشرائة,P
982,طعمه حلو ومشبع جدا,P
983,جميل جدا ومفيد وطعمه أكثر من رائع,P
984,مرره مفيد جدا حبيته,P
985,حلو المذاق و قليل السعرات الحراريه شكرا لسوق.كوم,P
986,صغييره مرا تكفي لوجبة شخص,N
987,المنتج فعال ورائحته جميله يستاهل 5 نجوم,P
988,ممتازين جدا بارك الله فيكم,P
989,نصحت كلو يشتريه بجد ممتاز,P
990,افضل منتج موجود في السوق,P
991,اعتقدت اني هحتاج اكتر من عبوه بس عبوه واحده قامت بالواجب,P
992,حلو جدا المنتج ده,P
993,ليس له فوائد,N
994,لم يناسبني بل زاد سوء للشعر وازدادت الحكه,N
995,سعر مبالغ فيه ولا يستحقه وكأنه عطر وليس زيت لايوجد به ميزة زيت,N
996,غير جيد ولا يوجد له اى تأثير ولا فأده,N
997,بالنسبة لي مافاد معي,N
998,مايحفظ الحراره ولا البروده مايستاهل صغنون,N
999,رهيب و قوي والعجينه فيه كويسه و كمان طحنت قهوة فيه,P
1000,منتج رائع وقوى وخامات ممتازة,P
1001,يغني عن العجان ومفرمة اللحم والكبة والخلاط والعصارة وغيرها الكثير انصح باقتنائه,P
1002,ماكينة ضعيف جدا والله ما يشيل دقن بسرعه,N
1003,انصح بتجريبها انها ممتازة,P
1004,مبالغ في سعرها و جودتها سيئه,N
1005,البائع شكرا له ولكن المنتج ماكان بالدرجه اللي كنت ادور عليها,N
1006,جميله ضد الماء,P
1007,ممتازه جدا حسب المطلوب,P
1008,التوصيل سريع والآلة ممتازة وسعرها جيد,P
1009,لا أنصح بشراء هذا المنتج لأنه غير مفيد اطلاقا ويمكن استخدام شفرة حلاقة أفضل بكثير لان الحلاقة غير ناعمة ويتسبب فى احمرار والتهاب للجلد,N
1010,ممتازة بكل المقاييس,P
1011,مالهاش أى لازمة,N
1012,يعمل جيدا,P
